val-aux/num_turns/mean,_step,rollout_corr/log_ppl_abs_diff,timing_s/agent_loop/slowest/generate_sequences,critic/advantages/min,val-aux/beyondaime/reward/worst@8/std,actor/is_ratio_mean,val-aux/hmmt25/reward/best@2/std,timing_s/step,_runtime,critic/returns/min,rollout_corr/rollout_rs_seq_max_deviation,rollout_corr/rollout_rs_seq_fraction_low,val-aux/aime25/reward/best@2/mean,critic/advantages/max,perf/mfu/actor,rollout_corr/log_ppl_diff_max,training/rollout_probs_diff_mean,timing_per_token_ms/gen,val-aux/aime25/reward/worst@2/std,val-aux/beyondaime/reward/worst@8/mean,val-core/aime24/reward/mean@8,timing_s/agent_loop/slowest/response_length,response/aborted_ratio,critic/rewards/min,val-core/aime25/reward/mean@8,val-core/aime25/reward/best@8/mean,val-aux/aime25/reward/best@2/std,rollout_corr/rollout_rs_seq_min,val-aux/num_turns/max,val-core/avg/reward/best@8/std,rollout_corr/training_log_ppl,timing_s/agent_loop/tool_calls/mean,val-aux/brumo25/reward/worst@8/mean,val-aux/hmmt25/reward/best@2/mean,val-aux/brumo25/reward/worst@4/mean,_timestamp,critic/returns/max,val-aux/brumo25/reward/best@4/std,perf/time_per_step,rollout_corr/rollout_is_catastrophic_token_fraction,val-aux/hmmt25/reward/worst@2/std,rollout_corr/rollout_rs_std,rollout_corr/rollout_rs_seq_fraction_high,rollout_corr/rollout_rs_ratio_fraction_low,num_turns/min,response_length_non_aborted/mean,val-aux/hmmt25/reward/best@4/std,val-aux/aime24/reward/worst@2/mean,actor/entropy,timing_s/agent_loop/generate_sequences/mean,rollout_corr/training_ppl,timing_s/agent_loop/generate_sequences/max,val-aux/beyondaime/reward/std@8,val/generations,critic/returns/mean,val-aux/beyondaime/reward/worst@2/mean,val-aux/brumo25/reward/best@4/mean,critic/score/max,training/rollout_probs_diff_valid,val-aux/aime24/reward/best@2/mean,distill/teacher_kl,rollout_corr/rollout_rs_seq_std,val-aux/aime25/reward/best@4/std,rollout_corr/rollout_ppl,val-aux/aime24/reward/worst@2/std,val-aux/brumo25/reward/worst@4/std,perf/cpu_memory_used_gb,training/rollout_probs_diff_max,val-core/aime24/reward/best@8/std,val-aux/beyondaime/reward/best@4/std,val-aux/beyondaime/reward/best@4/mean,response_length_non_aborted/min,response_length/min,training/rollout_actor_probs_pearson_corr,timing_per_token_ms/adv,val-aux/beyondaime/reward/worst@2/std,critic/score/mean,val-aux/hmmt25/reward/worst@2/mean,rollout_corr/rollout_rs_seq_mean,val-aux/aime24/reward/std@8,val-aux/aime25/reward/best@4/mean,val-core/hmmt25/reward/mean@8,val-aux/aime24/reward/worst@8/std,val-aux/num_turns/min,val-aux/brumo25/reward/best@2/std,val-aux/beyondaime/reward/worst@4/std,val-core/aime24/reward/best@8/mean,critic/rewards/mean,timing_s/reward,val-aux/aime25/reward/worst@4/std,val-aux/brumo25/reward/best@2/mean,timing_s/start_profile,val-core/hmmt25/reward/best@8/std,rollout_corr/ppl_ratio,response_length/max,prompt_length/min,val-core/avg/reward/mean@8,rollout_corr/log_ppl_diff_min,rollout_corr/log_ppl_diff,prompt_length/clip_ratio,val-aux/brumo25/reward/worst@8/std,val-core/beyondaime/reward/best@8/mean,prompt_length/mean,val-aux/hmmt25/reward/worst@8/std,timing_s/agent_loop/slowest/prompt_length,timing_s/old_log_prob_pre,val-aux/aime25/reward/worst@4/mean,actor/pg_loss,val-aux/aime24/reward/best@4/std,timing_s/agent_loop/tool_calls/min,val-aux/aime25/reward/worst@8/mean,rollout_corr/rollout_rs_eff_sample_size,rollout_corr/rollout_rs_mean,timing_s/adv,actor/lr,val-aux/aime25/reward/std@8,perf/max_memory_allocated_gb,timing_per_token_ms/update_actor,response_length_non_aborted/max,timing_s/update_actor,timing_s/agent_loop/tool_calls/max,val-core/avg/reward/best@8/mean,val-aux/aime24/reward/best@4/mean,rollout_corr/rollout_rs_max,val-aux/hmmt25/reward/std@8,val-core/brumo25/reward/mean@8,timing_s/agent_loop/generate_sequences/min,rollout_corr/rollout_rs_seq_max,timing_s/save_checkpoint,timing_s/agent_loop/slowest/tool_calls,rollout_corr/chi2_token,val-aux/aime25/reward/worst@8/std,critic/score/min,rollout_corr/rollout_log_ppl,val-aux/aime25/reward/worst@2/mean,val-aux/aime24/reward/worst@4/std,timing_s/testing,actor/grad_norm,val-core/hmmt25/reward/best@8/mean,rollout_corr/rollout_is_veto_fraction,training/global_step,num_turns/max,rollout_corr/kl,val-core/beyondaime/reward/mean@8,rollout_corr/rollout_rs_seq_masked_fraction,critic/advantages/mean,val-aux/hmmt25/reward/worst@4/mean,timing_s/stop_profile,response_length/clip_ratio,val-aux/hmmt25/reward/worst@8/mean,val-aux/hmmt25/reward/best@4/mean,val-aux/beyondaime/reward/best@2/mean,perf/max_memory_reserved_gb,val-aux/hmmt25/reward/worst@4/std,val-aux/brumo25/reward/std@8,val-aux/aime24/reward/best@2/std,val-core/beyondaime/reward/best@8/std,rollout_corr/chi2_seq,response_length_non_aborted/clip_ratio,val-aux/beyondaime/reward/best@2/std,val-core/brumo25/reward/best@8/std,rollout_corr/rollout_rs_ratio_fraction_high,val-aux/brumo25/reward/worst@2/mean,rollout_corr/rollout_rs_masked_fraction,perf/total_num_tokens,val-aux/aime24/reward/worst@8/mean,critic/rewards/max,response_length/mean,training/rollout_probs_diff_std,val-aux/aime24/reward/worst@4/mean,val-core/aime25/reward/best@8/std,num_turns/mean,timing_s/gen,adv/mean,prompt_length/max,rollout_corr/rollout_rs_min,val-aux/brumo25/reward/worst@2/std,val-core/brumo25/reward/best@8/mean,rollout_corr/k3_kl,val-aux/beyondaime/reward/worst@4/mean,perf/throughput,training/epoch
2.0,0,,,,0.0031149924417717867,,0.014472042012100433,,552.70199087,,,,0.09163333333333332,,,,,,0.05046671833689705,0.00035000000000000005,0.075,,,,0.058333333333333334,0.16286666666666666,0.08501327587512003,,2.0,0.04361790425208269,,,0.0269,0.0084,0.0598,1769943432.8054411,,0.0824534575759417,,,0.0044317039612320665,,,,,,0.016406502775830487,0.0272,,,,,0.038775381983692216,"{'ncols': 31, '_latest_artifact_path': 'wandb-client-artifact://uax47ky5c5zh8a3om2ookebpt1wytz0dgcdx2vdm2n18q5h3s2aq0mha02hiy3ibqhybeegb78q39cv1tnadw71u6zlpcga199aejp482soq06q2yxt0gbx45v21t7nm:latest/val/generations.table.json', '_type': 'table-file', 'nrows': 1, 'sha256': '6bdbf8ce2c59216e86226f44b25ec3669a65e015d9f198566858b9ce4a31b502', 'size': 26682, 'artifact_path': 'wandb-client-artifact://995q5q1hjwzn7jzxtp92jaadlfaig0sllj5l5iyz8nu0ddlmbj8hiryukku15wnm5g4k3qflkvie1g1xff6lyjo7is0ggquboq9mgcps5eun62ave4gl4v19siwy1w0x/val/generations.table.json', 'log_mode': 'IMMUTABLE', 'path': 'media/table/val/generations_0_6bdbf8ce2c59216e8622.table.json'}",,0.01284,0.28186666666666665,,,0.12466666666666666,,,0.07750426842777465,,0.06954759571579334,0.08637193503434079,,,0.07685124836779715,0.032156094265008164,0.06445000000000001,,,,,0.02682498134407712,,0.0006,,0.11141016879031956,0.128,0.004166666666666667,0.004063451803753623,2.0,0.11968288914961271,0.011897334923649716,0.22433333333333336,,,0.022255426844511615,0.23346666666666668,,0.015888465417822243,,,,0.06766666666666668,,,,0.05069431179651344,0.07785,,0.0,,,0.007233333333333333,,0.10800908986068175,,0.0010666666666666667,,,,,0.08030974539391227,,,,,,0.16016999999999998,0.1774333333333333,,0.011023963796102461,0.17083333333333334,,,,,,0.007753899726973688,,,0.025133333333333334,0.026769559985140374,,,0.0217,,,,,0.03,,,3.3333333333333335e-05,,,0.0,0.013733333333333332,0.047639999999999995,,0.001053565375285274,0.1419813561292578,0.12084511471704257,0.022245171073724482,,,0.039176999391931686,0.04448019936969443,,0.10909999999999999,,,0.0002666666666666667,,,,0.005066666666666667,0.05862443703137514,,,,,,0.1220744778010487,0.3141,,0.00322,,
,1,0.0019373036902834428,0.0,-29.49538230895996,,1.0,,330.0544193270034,875.153546579,-29.49538230895996,0.12333846092224121,0.0,,3.5374674797058105,0.09839017163863706,0.0733189582824707,0.002923694672062993,0.06995040191915837,,,,799.0,0.0,-7437.015625,,,,0.9303887486457825,,,1.0194160477258265,0.0,,,,1769943763.5583923,3.5374674797058105,,330.0544193270034,0.0,,0.03619544208049774,0.0,6.3196416704158764e-06,2.0,1313.4892578125,,,1.2832105159759521,0.0,33.208763893693686,0.0,,,-9.053156446725552e-09,,,-35.571380615234375,1.0,,0.39248380064964294,0.006464820355176926,,33.5643831435591,,,334.56390380859375,0.602855384349823,,,,2.0,2.0,0.9997217655181885,0.0005392187015940544,,-515.523193359375,,1.0002503395080566,,,,,,,,,-515.523193359375,19.7305986059946,,,0.0002835209888871759,,1.000531964469701,8192.0,36.0,,-0.11619091033935547,0.0005128250377310906,0.0,,,94.259765625,,102.0,23.597547587007284,,8.805180036386417e-05,,0.0,,0.9986916040505748,1.0000057220458984,1.5546052620047703,1e-06,,175.36240768432617,0.033530702089089225,8192.0,96.67136127199046,0.0,,,3.8587663173675537,,,0.0,1.1233384609222412,,0.0,0.0013494659215211868,,-7437.015625,1.0189032199559733,,,,2.190767288208008,,0.0,1.0,2.0,0.0006430945790043552,,0.0087890625,-9.053156446725552e-09,,5.772800068370998e-05,0.03125,,,,181.56640625,,,,,1.766170405317098,0.03125,,,1.8587180647955392e-06,,8.178359166777227e-06,2883070.0,,-35.571380615234375,1313.4892578125,0.008796367794275284,,,2.0,188.1683998729859,-9.43887989990344e-09,269.0,1.3413257704542048e-07,,,0.0006570426287453301,,2183.783818043337,0.0
,2,0.0019180084559593524,0.0,-28.481748580932617,,1.0,,322.2629075210134,1197.540928224,-28.481748580932617,0.18181586265563965,0.0,,4.106044292449951,0.09727443693887322,0.08190727233886719,0.0030296442564576864,0.0771069232288299,,,,1209.0,0.0,-11344.4150390625,,,,0.9213799238204956,,,1.0620495050679892,0.0,,,,1769944086.0102232,4.106044292449951,,322.2629075210134,0.0,,0.036624349653720856,0.0,7.5465222835191526e-06,2.0,1229.353515625,,,1.2766945362091064,0.0,38.843137852847576,0.0,,,5.721230600386207e-09,,,-36.619171142578125,1.0,,0.40850967168807983,0.006387626752257347,,38.50163597241044,,,357.5694580078125,0.8963381052017212,,,,2.0,2.0,0.9997067451477051,0.0005728363159035258,,-502.20281982421875,,1.0001646280288696,,,,,,,,,-502.20281982421875,15.798262573982356,,,5.260799662210047e-05,,1.0006369687616825,8192.0,34.0,,-0.15304946899414062,0.0006192580555079985,0.0,,,100.365234375,,65.0,19.555397373012966,,7.23776353446226e-05,,0.0,,0.9986603349745906,1.0000228881835938,1.5599845169926994,1e-06,,180.58110094070435,0.03338652599306632,8192.0,90.92032432198175,0.0,,,65.07829284667969,,,0.0,1.1818158626556396,,0.0,0.0013425159268081188,,-11344.4150390625,1.0614302430767566,,,,2.1454811096191406,,0.0,2.0,2.0,0.0006845898058145394,,0.00927734375,5.721230600386207e-09,,5.942399729974568e-05,0.02685546875,,,,186.818359375,,,,,2.569572541397065,0.02685546875,,,1.985926928682602e-06,,9.53244943957543e-06,2723264.0,,-36.619171142578125,1229.353515625,0.009023226797580719,,,2.0,194.13333432399668,5.4303206376005164e-09,454.0,0.01842382177710533,,,0.0006765463294868823,,2112.6104932061003,0.0
,3,0.0019910035689463257,0.0,-31.989543914794922,,1.0,,322.20155065201106,1533.611146301,-31.989543914794922,0.10025978088378906,0.0,,3.738729953765869,0.09763572984294158,0.10543251037597656,0.0029262814205139875,0.07396542348811967,,,,460.0,0.0,-5686.85498046875,,,,0.9003200531005859,,,1.072634367737919,0.0,,,,1769944408.3975086,3.738729953765869,,322.20155065201106,0.0,,0.03617238253355026,0.0,3.4897977911896305e-06,2.0,1259.2509765625,,,1.2946563959121704,0.0,48.812142985872924,0.0,,,8.147329921825985e-09,,,-30.747817993164062,1.0,,0.4054631292819977,0.005990230944007635,,48.156312776729465,,,356.3248291015625,0.9404628872871399,,,,2.0,2.0,0.9997190833091736,0.0005743493519194293,,-510.579833984375,,0.9999455809593201,,,,,,,,,-510.579833984375,16.023880651016952,,,4.2624014895409346e-05,,1.0008500930853188,8192.0,38.0,,-0.08831596374511719,0.0008332337185947836,0.0,,,98.34375,,78.0,20.62121980401571,,0.0001254279389684143,,0.0,,0.9986931497210874,0.9999879598617554,1.596894518006593,1e-06,,180.58110094070435,0.03341562925692154,8192.0,92.90727846699883,0.0,,,5.404956817626953,,,0.0,1.100259780883789,,0.0,0.0013139857910573483,,-5686.85498046875,1.0718011413700879,,,,2.155759811401367,,0.0,3.0,2.0,0.0006739123078887133,,0.0087890625,8.147329921825985e-09,,5.7792000006884336e-05,0.02783203125,,,,186.818359375,,,,,12.577972038649023,0.02783203125,,,4.653063570003724e-06,,8.14286158856703e-06,2780354.0,,-30.747817993164062,1259.2509765625,0.00889240950345993,,,2.0,190.75283304299228,1.0602770217360558e-08,342.0,0.011178010143339634,,,0.0006640586591402098,,2157.3096051009384,0.0
,4,0.0019743885359275737,0.0,-31.274063110351562,,1.0,,335.93680760700954,1882.80231112,-31.274063110351562,0.09630721807479858,0.0,,4.57963752746582,0.10446983088722432,0.10647201538085938,0.002780068898573518,0.07184394941094406,,,,809.0,0.0,-5166.1689453125,,,,0.9036927819252014,,,1.085580691229552,0.0,,,,1769944744.4681358,4.57963752746582,,335.93680760700954,0.0,,0.03495902940630913,0.0,5.37175583303906e-06,2.0,1363.46826171875,,,1.1583638191223145,0.0,50.90389783028513,0.0,,,7.191242268334008e-09,,,-38.56025695800781,1.0,,0.3799245059490204,0.005113536491990089,,50.9392134193331,,,373.43597412109375,0.8875961303710938,,,,2.0,2.0,0.9997243881225586,0.0005333939931555314,,-518.0150146484375,,0.9996614456176758,,,,,,,,,-518.0150146484375,17.050068779004505,,,4.975998308509588e-05,,1.0011129826307297,8192.0,37.0,,-0.02618122100830078,0.0010979270778079808,0.0,,,94.162109375,,115.0,21.471160340995993,,0.00013674900507254506,,0.0,,0.9987793581509872,0.9999873638153076,1.5923021500057075,1e-06,,184.11952590942383,0.03178120724018317,8192.0,94.87411794599029,0.0,,,2.513284683227539,,,0.0,1.0299654006958008,,0.0,0.0011952039785683155,,-5166.1689453125,1.084482750389725,,,,2.1118459701538086,,0.0,4.0,2.0,0.0006522668456909742,,0.00927734375,7.191242268334008e-09,,4.879999323748052e-05,0.03857421875,,,,190.296875,,,,,1.95526920305565,0.03857421875,,,1.4324682524602395e-06,,6.8042240854993e-06,2985227.0,,-38.56025695800781,1363.46826171875,0.008590354584157467,,,2.0,200.6158229879802,7.344247432428119e-09,541.0,0.01007298193871975,,,0.0006237326952032163,,2221.5688578938198,0.0
,5,0.00218711514298775,0.0,-30.46147346496582,,1.0,,349.0566231450066,2225.612423346,-30.46147346496582,0.1208680272102356,0.0,,3.1995768547058105,0.10469992264200312,0.13252019882202148,0.002746052108705044,0.07294140974998338,,,,8192.0,0.0,-5406.0224609375,,,,0.8791319727897644,,,1.197606152156368,0.0,,,,1769945093.6596994,3.1995768547058105,,349.0566231450066,0.0,,0.035234153270721436,0.0,3.484428589217714e-06,2.0,1401.32373046875,,,1.2459607124328613,0.0,47.97203637752682,0.0,,,-1.640780844525125e-08,,,-32.224822998046875,1.0,,0.38307833671569824,0.00649734353646636,,47.634535749442875,,,374.6961669921875,0.8614730834960938,,,,2.0,2.0,0.9997413754463196,0.0005261153186371802,,-536.8167724609375,,0.9998820424079895,,,,,,,,,-536.8167724609375,17.478974013996776,,,4.211199120618403e-05,,1.0009438637644053,8192.0,40.0,,-0.05782604217529297,0.0009205862995713687,0.0,,,97.326171875,,84.0,22.163471915002447,,0.00011711393400659631,,0.0,,0.9987602126485932,1.0000313520431519,1.6147715499973856,1e-06,,184.11952590942383,0.031975764083885645,8192.0,98.14113427800476,0.0,,,3.7315385341644287,,,0.0,1.062883734703064,,0.0,0.0013502920046448708,,-5406.0224609375,1.196685571456328,,,,1.9413795471191406,,0.0,5.0,2.0,0.0005927480662819562,,0.0078125,-1.640780844525125e-08,,6.0960010159760714e-05,0.0419921875,,,,190.53125,,,,,140.49425709201023,0.0419921875,,,3.484428589217714e-06,,6.968857178435428e-06,3069235.0,,-32.224822998046875,1401.32373046875,0.008497952483594418,,,2.0,209.33535419698455,-1.5993094848454348e-08,494.0,2.3145717022998724e-06,,,0.0006321904231754161,,2198.235756383976,0.0
,6,0.002463188990986964,0.0,-31.683549880981445,,1.0,,342.6764015730005,2597.650564237,-31.683549880981445,0.12731873989105225,0.0,,4.906542778015137,0.11152877637738584,0.10119867324829102,0.002752157161012292,0.06865746148468346,,,,1852.0,0.0,-7553.36328125,,,,0.9069581031799316,,,1.2591886757872999,0.0,,,,1769945436.469575,4.906542778015137,,342.6764015730005,0.0,,0.036394152790308,0.0,3.0237079045036808e-06,2.0,1453.3583984375,,,1.4882428646087646,0.0,47.549551574513316,0.0,,,-1.982922626098116e-08,,,-33.534542083740234,1.0,,0.38452813029289246,0.007178565952926874,,47.26884875446558,,,367.70623779296875,0.5482659935951233,,,,2.0,2.0,0.999770998954773,0.0005005170845339897,,-558.857177734375,,0.999860942363739,,,,,,,,,-558.857177734375,17.952198312996188,,,3.5967997973784804e-05,,1.000981982331723,8192.0,35.0,,-0.11933135986328125,0.0009560734679325833,0.0,,,95.72265625,,78.0,22.588638187997276,,0.00015234738783931334,,0.0,,0.998677217654543,0.9999871253967285,1.587899459991604,1e-06,,184.11952590942383,0.030223771668435144,8192.0,95.88545964600053,0.0,,,3.0463831424713135,,,0.0,1.1273187398910522,,0.0,0.0013204975984990597,,-7553.36328125,1.2582326002884656,,,,2.1586413383483887,,0.0,6.0,2.0,0.0006815357565486124,,0.00439453125,-1.982922626098116e-08,,4.947301931679249e-05,0.04541015625,,,,190.53125,,,,,10.926096146460623,0.04541015625,,,1.3438701671475428e-06,,4.367578185338061e-06,3172518.0,,-33.534542083740234,1453.3583984375,0.008417288772761822,,,2.0,204.35742364500766,-2.0341873963047874e-08,742.0,0.0644039437174797,,,0.0006694524323620499,,2314.5144992747314,0.0
,7,0.002135673199518351,0.0,-30.359729766845703,,1.0,,371.90051590598887,2955.070543791,-30.359729766845703,0.11713480949401855,0.0,,4.326059818267822,0.11866753423371312,0.060419559478759766,0.002650221111252904,0.06863627996317957,,,,800.0,0.0,-12649.392578125,,,,0.9413787126541138,,,1.2663883992936462,0.0,,,,1769945808.507761,4.326059818267822,,371.90051590598887,0.0,,0.03532032296061516,0.0,5.194621280679712e-06,2.0,1597.95703125,,,1.3377339839935303,0.0,67.17348696477711,0.0,,,-4.037815859447846e-09,,,-35.221885681152344,1.0,,0.3513566553592682,0.0065928236581385136,,66.89896328840405,,,369.58123779296875,0.6736154556274414,,,,2.0,2.0,0.9997661113739014,0.00045775367619961733,,-561.4528198242188,,1.0000874996185303,,,,,,,,,-561.4528198242188,19.897415749990614,,,3.9135979022830725e-05,,1.0007281615398824,8192.0,39.0,,-0.1090846061706543,0.0007073847391438903,0.0,,,95.259765625,,96.0,25.062954708002508,,0.00013015141269789865,,0.0,,0.9987540291648852,0.9999648332595825,1.5873560849868227,1e-06,,184.11952590942383,0.028953322508413454,8192.0,100.4016680890054,0.0,,,3.3579578399658203,,,0.0,1.1171348094940186,,0.0,0.0012264540418982506,,-12649.392578125,1.2656810183543712,,,,2.024517059326172,,0.0,7.0,2.0,0.0006643094698119967,,0.0107421875,-4.037815859447846e-09,,4.947299021296203e-05,0.0556640625,,,,190.53125,,,,,1.805776043329388,0.0556640625,,,3.0556593628716655e-06,,8.250280188804027e-06,3467708.0,,-35.221885681152344,1597.95703125,0.008256101049482822,,,2.0,224.6201879879809,-3.87928711376162e-09,306.0,0.05280016362667084,,,0.0006380997658652632,,2331.072324242612,0.0
,8,0.0021430152301036287,0.0,-32.31707000732422,,1.0,,357.23334444098873,3342.901733807,-32.31707000732422,0.19879984855651855,0.0,,4.640380859375,0.1173572506419687,0.07510137557983398,0.0026903857942670584,0.06723944810402907,,,,2346.0,0.0,-9999.9765625,,,,0.9277279376983643,,,1.1545821987092495,0.0,,,,1769946165.9268262,4.640380859375,,357.23334444098873,0.0,,0.03496584668755531,0.0,4.084243300894741e-06,2.0,1554.181640625,,,1.2445827722549438,0.0,52.163727081380785,0.0,,,-2.6738065095344155e-09,,,-31.189300537109375,1.0,,0.3585256040096283,0.007154372055083513,,51.89976904168725,,,371.6282958984375,0.5582534074783325,,,,2.0,2.0,0.9997498989105225,0.00047622379568138396,,-557.2139892578125,,0.9999643564224243,,,,,,,,,-557.2139892578125,19.002808582008583,,,3.561598714441061e-05,,1.0008536437526345,8192.0,36.0,,-0.17713117599487305,0.0008295618445117725,0.0,,,98.396484375,,87.0,24.411415948008653,,0.00010656663199171135,,0.0,,0.9987787635591238,0.9999694228172302,1.6117699120077305,1e-06,,184.11952590942383,0.028910790708768227,8192.0,97.84799293801188,0.0,,,2.5217478275299072,,,0.0,1.1987998485565186,,0.0,0.0011786576360464096,,-9999.9765625,1.15375263732858,,,,1.956951379776001,,0.0,8.0,2.0,0.0006520142829629094,,0.0068359375,-2.6738065095344155e-09,,5.9457001043483615e-05,0.0537109375,,,,190.53125,,,,,2.074658748228103,0.0537109375,,,6.283451625677117e-07,,4.712588633992709e-06,3384480.0,,-31.189300537109375,1554.181640625,0.008335256949067116,,,2.0,214.0207426949928,-3.3749165684326954e-09,484.0,0.008896932005882263,,,0.0006197230864017911,,2368.535897241167,0.0
,9,0.0019396230436541373,0.0,-34.0754280090332,,1.0,,387.67247019399656,4190.700226688,-34.0754280090332,0.10041862726211548,0.0,,3.9977705478668213,0.120151288676487,0.10595989227294922,0.0027884580194950104,0.0685958988120575,,,,693.0,0.0,-7458.056640625,,,,0.8995813727378845,,,1.0449801930226386,0.0,,,,1769946553.7588477,3.9977705478668213,,387.67247019399656,0.0,,0.03443334996700287,0.0,4.682946837419877e-06,2.0,1668.287109375,,,0.9946750998497009,0.0,29.17823222465813,0.0,,,-8.798073380944516e-09,,,-30.355241775512695,1.0,,0.33181232213974,0.00545315770432353,,28.796004535630345,,,373.7747802734375,0.965436577796936,,,,2.0,2.0,0.9997165203094482,0.0004427434959055999,,-553.5582275390625,,0.9997876286506653,,,,,,,,,-553.5582275390625,20.040070904011372,,,7.22880067769438e-05,,1.0009853863157332,8192.0,37.0,,-0.0644674301147461,0.0009691789305179555,0.0,,,96.2265625,,123.0,28.287967015989125,,0.00014109388200211903,,0.0,,0.9988157485205191,0.9999809861183167,1.599952796997968,1e-06,,184.11952590942383,0.028517414156421953,8192.0,103.05406395500177,0.0,,,1.990578055381775,,,0.0,1.067807912826538,,0.0,0.0012131580151617527,,-7458.056640625,1.0440110149793327,,,,1.8042067289352417,,0.0,9.0,2.0,0.0006268865779652799,,0.00732421875,-8.798073380944516e-09,,5.113700171932578e-05,0.0625,,,,190.53125,,,,,3.857542828656733,0.0625,,,0.0,,4.682946837419877e-06,3613724.0,,-30.355241775512695,1668.287109375,0.008473576046526432,,,2.0,234.36831486801384,-1.1433029634133618e-08,1533.0,4.091271330253221e-05,,,0.0006157488822964297,,2330.3976151515503,0.0
