timing_s/stop_profile,rollout_corr/rollout_rs_seq_fraction_low,rollout_corr/rollout_rs_std,val-core/beyondaime/reward/best@8/mean,timing_s/agent_loop/generate_sequences/max,actor/pg_loss,rollout_corr/rollout_rs_max,val-core/brumo25/reward/best@8/mean,val-aux/hmmt25/reward/best@2/mean,timing_s/agent_loop/slowest/response_length,timing_s/agent_loop/generate_sequences/min,prompt_length/clip_ratio,val-core/aime24/reward/mean@8,perf/total_num_tokens,actor/grad_norm,response_length/mean,rollout_corr/chi2_token,perf/max_memory_allocated_gb,val-aux/hmmt25/reward/worst@4/mean,val-aux/beyondaime/reward/best@2/mean,val-aux/brumo25/reward/std@8,critic/score/mean,val-aux/beyondaime/reward/worst@2/mean,val-core/beyondaime/reward/best@8/std,perf/cpu_memory_used_gb,timing_per_token_ms/gen,val-aux/aime25/reward/worst@4/mean,val-aux/brumo25/reward/worst@4/mean,val-aux/beyondaime/reward/worst@8/mean,response_length/min,rollout_corr/log_ppl_diff_min,val-core/hmmt25/reward/best@8/std,val-aux/aime24/reward/worst@8/mean,val-aux/hmmt25/reward/best@4/mean,val-core/hmmt25/reward/mean@8,distill/teacher_kl,rollout_corr/rollout_rs_seq_mean,prompt_length/mean,rollout_corr/rollout_rs_seq_min,rollout_corr/rollout_rs_seq_std,_timestamp,val-core/aime25/reward/mean@8,val-aux/beyondaime/reward/worst@2/std,timing_s/old_log_prob_pre,critic/advantages/max,val-aux/brumo25/reward/worst@8/std,val-aux/aime24/reward/worst@4/std,timing_s/save_checkpoint,val-aux/aime25/reward/worst@8/std,timing_per_token_ms/adv,rollout_corr/training_log_ppl,val-core/aime24/reward/best@8/mean,val-aux/aime25/reward/std@8,response/aborted_ratio,val-aux/aime24/reward/worst@2/std,timing_s/gen,timing_s/agent_loop/tool_calls/max,val-aux/brumo25/reward/worst@2/mean,num_turns/mean,rollout_corr/rollout_rs_ratio_fraction_high,val-aux/hmmt25/reward/worst@2/mean,training/rollout_probs_diff_std,training/epoch,timing_s/update_actor,val-core/avg/reward/best@8/std,val-aux/aime24/reward/std@8,timing_s/agent_loop/tool_calls/min,val-aux/beyondaime/reward/best@4/std,timing_s/reward,rollout_corr/log_ppl_diff,timing_s/agent_loop/slowest/generate_sequences,timing_s/adv,response_length/max,val-aux/hmmt25/reward/worst@8/std,val-aux/aime25/reward/worst@2/mean,critic/rewards/mean,rollout_corr/kl,critic/advantages/mean,timing_s/agent_loop/slowest/tool_calls,val-core/aime25/reward/best@8/std,actor/is_ratio_mean,critic/rewards/max,actor/entropy,val-aux/num_turns/min,val-core/beyondaime/reward/mean@8,rollout_corr/k3_kl,val-aux/aime25/reward/best@4/mean,response_length/clip_ratio,response_length_non_aborted/mean,critic/returns/max,rollout_corr/log_ppl_abs_diff,val-aux/beyondaime/reward/best@2/std,val/generations,val-aux/aime24/reward/best@2/mean,timing_s/step,val-aux/hmmt25/reward/std@8,timing_s/agent_loop/generate_sequences/mean,critic/returns/mean,val-aux/beyondaime/reward/worst@4/mean,val-aux/brumo25/reward/best@4/std,perf/max_memory_reserved_gb,val-aux/hmmt25/reward/best@4/std,val-core/brumo25/reward/best@8/std,timing_s/agent_loop/tool_calls/mean,critic/advantages/min,rollout_corr/ppl_ratio,rollout_corr/rollout_rs_masked_fraction,timing_s/start_profile,val-aux/hmmt25/reward/worst@8/mean,val-aux/brumo25/reward/worst@8/mean,val-aux/aime25/reward/best@2/std,val-core/avg/reward/best@8/mean,rollout_corr/rollout_is_veto_fraction,val-aux/num_turns/mean,num_turns/max,_step,val-aux/aime24/reward/best@4/mean,rollout_corr/log_ppl_diff_max,val-aux/aime25/reward/worst@8/mean,val-aux/aime25/reward/best@2/mean,val-core/aime24/reward/best@8/std,val-core/aime25/reward/best@8/mean,critic/score/max,val-aux/aime24/reward/worst@4/mean,rollout_corr/rollout_ppl,val-aux/beyondaime/reward/worst@8/std,rollout_corr/rollout_rs_seq_max_deviation,val-aux/num_turns/max,response_length_non_aborted/max,val-core/brumo25/reward/mean@8,val-aux/brumo25/reward/worst@2/std,val-core/hmmt25/reward/best@8/mean,rollout_corr/rollout_rs_seq_max,actor/lr,rollout_corr/rollout_rs_min,val-aux/hmmt25/reward/worst@4/std,val-aux/aime24/reward/best@4/std,rollout_corr/rollout_rs_mean,timing_s/agent_loop/slowest/prompt_length,val-aux/hmmt25/reward/worst@2/std,training/rollout_probs_diff_valid,val-aux/beyondaime/reward/best@4/mean,response_length_non_aborted/clip_ratio,rollout_corr/rollout_rs_eff_sample_size,rollout_corr/rollout_is_catastrophic_token_fraction,val-aux/brumo25/reward/worst@4/std,critic/returns/min,rollout_corr/chi2_seq,prompt_length/min,timing_s/testing,val-aux/aime25/reward/best@4/std,rollout_corr/rollout_rs_seq_fraction_high,training/global_step,prompt_length/max,num_turns/min,val-aux/aime25/reward/worst@4/std,val-aux/brumo25/reward/best@4/mean,val-aux/hmmt25/reward/best@2/std,timing_per_token_ms/update_actor,rollout_corr/rollout_rs_seq_masked_fraction,val-aux/aime24/reward/worst@8/std,val-aux/brumo25/reward/best@2/mean,adv/mean,val-aux/aime24/reward/worst@2/mean,_runtime,critic/rewards/min,perf/time_per_step,rollout_corr/training_ppl,rollout_corr/rollout_log_ppl,val-aux/brumo25/reward/best@2/std,val-aux/aime25/reward/worst@2/std,critic/score/min,perf/mfu/actor,training/rollout_probs_diff_max,val-aux/aime24/reward/best@2/std,val-core/avg/reward/mean@8,perf/throughput,rollout_corr/rollout_rs_ratio_fraction_low,val-aux/beyondaime/reward/std@8,training/rollout_probs_diff_mean,training/rollout_actor_probs_pearson_corr,response_length_non_aborted/min,val-aux/beyondaime/reward/worst@4/std
,,,0.08864000000000001,,,,0.28396666666666665,0.0314,,,,0.07083333333333333,,,,,,3.3333333333333335e-05,0.06388999999999999,0.12701836334204805,,0.029219999999999996,0.018615139614392887,,,0.003766666666666667,0.06393333333333334,0.004260000000000001,,,0.06334750475470731,0.0032,0.05476666666666666,0.016666666666666666,,,,,,1770220941.3752184,0.06666666666666667,0.034692541566743174,,,0.0541440334338323,0.024504182665561428,,0.002107130750570548,,,0.2072,0.09985696893674803,,0.05996454292312533,,,0.1132,,,0.0021,,,,0.05307804429583003,0.10182843692864808,,0.026476614652205327,,,,,,0.0,0.0229,,,,,0.0615269978097871,,,,2.0,0.04625,,0.16183333333333336,,,,,0.036581847539462746,"{'artifact_path': 'wandb-client-artifact://db92mwbqb08csh2q4b6o2c0cy3scxmoe95ugpys64uzr68e4hr2l00w83tnsr1hcpv9yi7g6rbltylw74h9dt72k7325ct9hmk9f1g3h3e4dpmz1gyr0cyene3ys346a/val/generations.table.json', 'log_mode': 'IMMUTABLE', 'sha256': '931605186f275121386a9bbb2396a41bca1598c54f73dccc6a89bd23be961cde', 'size': 34870, 'ncols': 31, 'path': 'media/table/val/generations_0_931605186f275121386a.table.json', '_latest_artifact_path': 'wandb-client-artifact://jdfiykclri89rh5m91n12vbjkl61mjwy8emqo73gq2aabzkx6pq45dv40umnuqgbg2mtwjc2hesvv0owctcmrwltv16gllw4qbrl0wt6i1k769mmcpttn5d1gand64tk:latest/val/generations.table.json', 'nrows': 1, '_type': 'table-file'}",0.1117666666666667,,0.044095855184409845,,,0.01471,0.06286833522009765,,0.06559505784283,0.033059265858240434,,,,,,0.0,0.028266666666666666,0.10850289551159294,0.174068,,2.0,,0,0.15813333333333332,,6.666666666666667e-05,0.11166666666666666,0.08884131344202247,0.20313333333333333,,0.010933333333333333,,0.013538848488118252,,2.0,,0.16666666666666666,0.11656148366188622,0.08739999999999999,,,,0.001053565375285274,0.10760204742507677,,,0.016568287127728946,,0.07807,,,,0.08926112838367219,,,,,0.09583495366623147,,,,,0.023320857603469396,0.26143333333333335,0.05655484557880787,,,0.009819708074411716,0.2235333333333333,,0.029900000000000003,516.177549114,,,,,0.10054357480612074,0.06218341611109321,,,,0.1103398919739098,0.07341666666666666,,,0.04157220251110318,,,,0.02498261184186308
4.998501390218735e-05,0.0,0.10013456642627716,,0.0,0.00015329563631727439,19.892620086669922,,,8192.0,0.0,0.0,,2308335.0,2.406362771987915,1032.85693359375,0.06306452490389347,158.01621913909912,,,,-494.677001953125,,,352.18499755859375,0.08414218544210955,,,,2.0,-0.3235079348087311,,,,,0.4789404571056366,1.0360238552093506,94.259765625,0.6728453636169434,0.02936668135225773,1770221246.5882058,,,21.076150356966536,1.654665231704712,,,,,0.0006867117069264337,0.058716087631182745,,,0.0,,177.98520758602535,0.0,,2.0,0.0011459416709840298,,0.05221891030669212,0.0,87.60721829900285,,,0.0,,16.008838756999467,-0.030957011127611622,0.0,1.5851606680080295,8192.0,,,-494.677001953125,-0.02272353992520948,4.498232897276466e-09,0.0,,1.0,-105.68551635742188,0.04943854734301567,,,0.004026302819511329,,0.03515625,1032.85693359375,1.654665231704712,0.03117688075872138,,,,304.58143594802823,,0.0,4.498232897276466e-09,,,164.298828125,,,0.0,-38.309059143066406,0.9697008957155049,0.0057405815459787846,0.00027481699362397194,,,,,0.0,,2.0,1,,0.22514653205871582,,,,,-105.68551635742188,,1.1154186259955168,,0.4513864517211914,,8192.0,,,,1.4513864517211914,1e-05,0.0007941024960018694,,,1.0223356485366821,102.0,,1.0,,0.03515625,0.9904945158942893,0.0,,-38.309059143066406,1.0958707172258611e+17,36.0,,,0.0,1.0,269.0,2.0,,,,0.03795255814212532,0.99462890625,,,2.4377518670348763e-08,,789.167766425,-14145.5341796875,304.58143594802823,1.0858133872970939,0.08967309884610586,,,-14145.5341796875,0.08565705419145182,0.8610104322433472,,,1894.6780134639255,0.004594639874994755,,0.019411783665418625,0.9207695722579956,2.0,
4.860898479819298e-05,0.0,0.10056045651435852,,0.0,0.00010710698655280737,16.77790641784668,,,724.0,0.0,0.0,,2235270.0,1.6022307872772217,991.0751953125,0.06786221545189619,159.52854585647583,,,,-491.2811584472656,,,358.71881103515625,0.07783374909075948,,,,160.0,-0.0833221822977066,,,,,0.4957052171230316,1.0294036865234375,100.365234375,1.0021238327026367,0.01433163695037365,1770221519.578438,,,18.191769402998034,1.3403555154800415,,,,,0.0007060041422237451,0.05153716611675918,,,0.0,,157.9808728719945,0.0,,2.0,0.00023106612206902355,,0.05330857262015343,0.0,81.42865733697545,,,0.0,,13.388312596012838,-0.028812682649004273,0.0,1.5781098789884709,8192.0,,,-491.2811584472656,-0.024563897743064445,-9.789003385662909e-09,0.0,,1.0,-148.98280334472656,0.055619582533836365,,,0.004302612079300161,,0.01806640625,991.0751953125,1.3403555154800415,0.028812682649004273,,,,272.86013924103463,,0.0,-9.789003385662909e-09,,,165.783203125,,,0.0,-25.186546325683594,0.9716842616908252,0.005477104801684618,4.39360155723989e-05,,,,,0.0,,2.0,2,,-0.002307388698682189,,,,,-148.98280334472656,,1.084443331696093,,0.08747708797454834,,8192.0,,,,1.0874770879745483,1e-05,0.0019367265049368143,,,1.0229493379592896,65.0,,1.0,,0.01806640625,0.9904456316283939,0.0,,-25.186546325683594,1.2703207880078131e+17,34.0,,,0.0,2.0,454.0,2.0,,,,0.03642900291104674,0.9755859375,,,-3.386466218557871e-09,,1184.369417648,-4704.85546875,272.86013924103463,1.0532321352511644,0.08034984883852303,,,-4704.85546875,0.0851391443868591,0.8202943205833435,,,2047.9997611756737,0.005246038548648357,,0.021593254059553146,0.9234501719474792,160.0,
4.918396007269621e-05,0.0,0.10677964240312576,,0.0,0.00013319992469007502,18.06241226196289,,,1184.0,0.0,0.0,,3986242.0,1.2549960613250732,1848.0634765625,0.06549654621630907,176.11723613739014,,,,-631.9561767578125,,,423.59368896484375,0.06120861180489386,,,,194.0,-0.08693291246891022,,,,,0.34195592999458313,1.0292375087738037,98.34375,0.6577126979827881,0.02166401781141758,1770221914.7800038,,,30.037058610992972,1.8427197933197021,,,,,0.0003926578248337375,0.05292458084295504,,,0.0,,231.66443505196366,0.0,,2.0,0.0002721387427300215,,0.07436022907495499,0.0,109.9049482360133,,,0.0,,21.550366711977404,-0.02995797806943301,0.0,1.5652291129808873,8192.0,,,-631.9561767578125,-0.023564252973301336,-7.686428382669419e-09,0.0,,1.0,-163.82534790039062,0.06250153481960297,,,0.004213421626445779,,0.078125,1848.0634765625,1.8427197933197021,0.02995797806943301,,,,395.066735978995,,0.0,-7.686428382669419e-09,,,182.49609375,,,0.0,-34.08626937866211,0.9705976038239896,0.009736754931509495,3.740802640095353e-05,,,,,0.0,,2.0,3,,-0.002371744019910693,,,,,-163.82534790039062,,1.0873766466975212,,0.3422873020172119,,8192.0,,,,1.0925133228302002,1e-05,2.06115369216775e-09,,,1.0153179168701172,78.0,,1.0,,0.078125,0.9891065847816205,0.0,,-34.08626937866211,2.0126303594636902e+17,38.0,,,0.0,3.0,342.0,2.0,,,,0.02757106774651747,0.99072265625,,,2.0844550530085826e-09,,1608.64756124,-3085.747314453125,395.066735978995,1.0547483377158642,0.08288255910156295,,,-3085.747314453125,0.123335580180731,1.0,,,2522.5117916609042,0.00946461595594883,,0.025149131193757057,0.8385099172592163,194.0,
5.1552022341638803e-05,0.0,0.10490549355745316,,0.0,0.0001092713351429353,21.259653091430664,,,1427.0,0.0,0.0,,4443146.0,1.0483909845352173,2075.3427734375,0.06472579762339592,176.11723613739014,,,,-613.936279296875,,,416.88348388671875,0.05917381609847897,,,,247.0,-0.08838492631912231,,,,,0.2958240509033203,1.0304901599884033,94.162109375,0.9020718336105347,0.02052472159266472,1770222339.0582418,,,31.081468869000673,1.6875052452087402,,,,,0.00035845212424873954,0.0544874301267555,,,0.0,,251.50658891099738,0.0,,2.0,0.0002915087097790092,,0.06756912916898727,0.0,115.8204968229984,,,0.0,,23.784355092968326,-0.030822843604255468,0.0,1.5926551220472902,8192.0,,,-613.936279296875,-0.02317655940714758,3.008944426952098e-09,0.0,,1.0,346.5193786621094,0.05878136679530144,,,0.004202755816550052,,0.10009765625,2075.3427734375,1.6875052452087402,0.030822843604255468,,,,424.14174197398825,,0.0,3.008944426952098e-09,,,182.49609375,,,0.0,-41.8586311340332,0.9697766350582242,0.007916143164038658,3.5584031138569117e-05,,,,,0.0,,2.0,4,,-0.001519352663308382,,,,,346.5193786621094,,1.0901693692430854,,0.10471558570861816,,8192.0,,,,1.1047155857086182,1e-05,2.06115369216775e-09,,,1.0171903371810913,115.0,,1.0,,0.10009765625,0.9895073582493076,0.0,,-41.8586311340332,2.1271324924051456e+17,37.0,,,0.0,4.0,541.0,2.0,,,,0.026067227325637824,0.998046875,,,1.0190243315832959e-08,,2767.93994556,-2650.5498046875,424.14174197398825,1.0564559064805508,0.08531027400749736,,,-2650.5498046875,0.1330236399133805,0.9999998211860657,,,2618.903989101177,0.00762463454157114,,0.023442434147000313,0.8634883165359497,247.0,
4.9152993597090244e-05,0.0009765625,0.13418520987033844,,0.0,3.9300288193544475e-05,21.35552978515625,,,1130.0,0.0,0.0,,11068176.0,0.8766899704933167,5307.056640625,0.045328835025429726,192.20516443252563,,,,-594.9620971679688,,,485.523193359375,0.07083569031403104,,,,278.0,-0.10994087159633636,,,,,0.11210773140192032,1.0030096769332886,97.326171875,0.3565088212490082,0.04723985120654106,1770223498.350531,,,78.36234695604071,3.0546576976776123,,,,,0.00014658038551266963,0.046386922971578315,,,0.0,,769.9026343410369,0.0,,2.0,0.0006377858226187527,,0.1382671743631363,0.0,250.1517084739753,,,0.0,,58.63072232098784,-0.026272594652255066,0.0,1.6223775050020777,8192.0,,,-594.9620971679688,-0.015779566616402008,8.46251513308971e-09,0.0,,1.0,2530.083984375,0.10572820901870728,,,0.0031545677411486395,,0.5498046875,5307.056640625,3.0546576976776123,0.026272594652255066,,,,1159.1247446760535,,0.0,8.46251513308971e-09,,,198.71875,,,0.0,-60.887107849121094,0.9743018765002489,0.03016969934105873,4.7968991566449404e-05,,,,,0.0,,2.0,5,,-0.0032713254913687706,,,,,2530.083984375,,1.077423351816833,,0.6434911489486694,,8192.0,,,,1.1366777420043945,1e-05,2.06115369216775e-09,,,0.9792482256889343,84.0,,1.0,,0.5498046875,0.9818543341841028,0.0,,-60.887107849121094,2.3371317179213414e+17,40.0,,,0.0,5.0,494.0,2.0,,,,0.022600987594882417,0.99951171875,,,7.411576685711907e-09,,3810.106642088,-2743.7060546875,1159.1247446760535,1.0483076618984342,0.07265951778390445,,,-2743.7060546875,0.1759019317933607,0.9999997019767761,,,2387.1839616134844,0.02953191287815571,,0.04928315058350563,0.5427380204200745,278.0,
4.8640009481459856e-05,0.0,0.13890957832336426,,0.0,5.04863361641128e-05,20.66082191467285,,,8192.0,0.0,0.0,,9890239.0,1.1474580764770508,4733.49560546875,0.05546243768185377,192.20516443252563,,,,-557.7885131835938,,,475.099365234375,0.07136296270295481,,,,255.0,-0.10860203206539154,,,,,0.11783860623836517,1.012516736984253,95.72265625,0.6975938677787781,0.04489825665950775,1770224540.51722,,,68.47692658903543,3.042964220046997,,,,,0.0001651315093567972,0.05502790052560158,,,0.0,,691.8067616720218,0.0,,2.0,0.0007912979926913977,,0.13461224734783173,0.0,227.5205282800016,,,0.0,,52.142791442980524,-0.031382138266053516,0.0,1.6331900939694606,8192.0,,,-557.7885131835938,-0.01924650619912427,-4.35709113233429e-09,0.0,,1.0,3123.5732421875,0.10777442157268524,,,0.003872542773024179,,0.46875,4733.49560546875,3.042964220046997,0.031382138266053516,,,,1042.004781058,,0.0,-4.35709113233429e-09,,,198.71875,,,0.0,-58.50301742553711,0.9693530243821442,0.028951849788427353,3.606401151046157e-05,,,,,0.0,,2.0,6,,-0.0034595495089888573,,,,,3123.5732421875,,1.0924493931233883,,0.3024061322212219,,8192.0,,,,1.1213622093200684,1e-05,2.06115369216775e-09,,,0.9853315353393555,78.0,,1.0,,0.46875,0.9807938288828226,0.0,,-58.50301742553711,2.3380629352821555e+17,35.0,,,0.0,6.0,742.0,2.0,,,,0.023004553103317484,0.99951171875,,,-2.4897663930545377e-09,,5271.507639412,-3839.814453125,1042.004781058,1.0574456695467234,0.08641003834782168,,,-3839.814453125,0.1707154411132594,1.0,,,2372.8871449989756,0.02816055342555046,,0.04938794672489166,0.5846973061561584,255.0,
5.190400406718254e-05,0.0,0.1547079235315323,,0.0,1.0354618660279868e-05,113.62098693847656,,,8192.0,0.0,0.0,,14011448.0,1.2009121179580688,6746.267578125,0.06458442378789186,192.20516443252563,,,,-875.0339965820312,,,480.29962158203125,0.07098759778967793,,,,559.0,-0.10718971490859985,,,,,0.12970638275146484,0.9961953163146973,95.259765625,0.6816989779472351,0.039391834288835526,1770226001.918022,,,94.53267140203388,4.063121795654297,,,,,0.00011931437664308201,0.04636210360331461,,,0.0,,980.7899226470036,0.0,,2.0,0.002154909772798419,,0.1387145221233368,0.0,309.0783639230067,,,0.0,,74.65486240200698,-0.027124639731482603,0.0,1.6717671839869581,8192.0,,,-875.0339965820312,-0.021866872208192945,-8.275903518040195e-09,0.0,,1.0,2086.077880859375,0.1283436119556427,,,0.004710566683570505,,0.705078125,6746.267578125,4.063121795654297,0.027124639731482603,,,,1461.2203176680487,,0.0,-8.275903518040195e-09,,,198.71875,,,0.0,-67.90160369873047,0.9734106631949544,0.034906163811683655,4.4768035877496004e-05,,,,,0.0,,2.0,7,,-0.0029458426870405674,,,,,2086.077880859375,,1.0777891911566257,,0.3183010220527649,,8192.0,,,,1.1452020406723022,1e-05,2.06115369216775e-09,,,0.9850590229034424,96.0,,1.0,,0.705078125,0.9762744561545698,0.0,,-67.90160369873047,2.353852531605504e+17,39.0,,,0.0,7.0,306.0,2.0,,,,0.022058988044847804,1.0,,,-7.616760555606561e-09,,7117.437859051,-7745.50341796875,1461.2203176680487,1.0480800438672304,0.07348674346576445,,,-7745.50341796875,0.18231053603187955,0.9999997615814209,,,2397.216872531716,0.03275125473737717,,0.05483664572238922,0.6218937635421753,559.0,
4.8031972255557775e-05,0.0,0.15894417464733124,,0.0,2.949814525976535e-07,51.35456466674805,,,8192.0,0.0,0.0,,16887314.0,0.9931439757347107,8147.3623046875,0.0632215179502964,192.2401237487793,,,,-787.74853515625,,,485.7117919921875,0.07619721474436039,,,,852.0,-0.11125428974628448,,,,,0.09668755531311035,0.9819803833961487,98.396484375,0.6279965043067932,0.03127281740307808,1770227847.8484251,,,115.56936440500431,4.111708641052246,,,,,9.984097826259413e-05,0.03562098897236865,,,0.0,,1271.411333387019,0.0,,2.0,0.0022087646648287773,,0.1535932868719101,0.0,365.89675342995906,,,0.0,,90.61251961800735,-0.021539468230912462,0.0,1.6860459499876015,8192.0,,,-787.74853515625,-0.02115414613217581,8.023742559259972e-09,0.0,,1.0,3500.2294921875,0.12077665328979492,,,0.004689114504799363,,0.9921875,8147.3623046875,4.111708641052246,0.021539468230912462,,,,1845.7367215660051,,0.0,8.023742559259972e-09,,,198.728515625,,,0.0,-63.218467712402344,0.978737557772547,0.03899268060922623,3.7856982089579105e-05,,,,,0.0,,2.0,8,,-0.0028180046938359737,,,,,3500.2294921875,,1.0592874651774764,,0.3720034956932068,,8192.0,,,,1.1291229724884033,1e-05,2.06115369216775e-09,,,0.9814075231552124,87.0,,1.0,,0.9921875,0.9749288962484927,0.0,,-63.218467712402344,2.353852531605504e+17,36.0,,,0.0,8.0,484.0,2.0,,,,0.02166695979182711,1.0,,,9.013388257983479e-09,,8975.436832831,-7774.181640625,1845.7367215660051,1.0364971924573183,0.05716045739245601,,,-7774.181640625,0.19034475431546782,0.9999998807907104,,,2287.340578247808,0.036783915013074875,,0.05786777287721634,0.5636059045791626,852.0,
4.566402640193701e-05,0.0,0.16607090830802917,,0.0,1.315895622577834e-06,52.452850341796875,,,8192.0,0.0,0.0,,16974288.0,1.2270760536193848,8192.0,0.07538873516023159,193.34323406219482,,,,-992.6830444335938,,,492.5968017578125,0.07628664156293999,,,,8192.0,-0.07412419468164444,,,,,0.12117712199687958,0.9890284538269043,96.2265625,0.5000922083854675,0.025965122506022453,1770229705.8383276,,,116.21517111000139,3.690108299255371,,,,,9.809937088433285e-05,0.0402908390678931,,,0.0,,1279.8774634160218,0.0,,2.0,0.0025467276573181152,,0.14911648631095886,0.0,368.272477231978,,,0.0,,91.20277263596654,-0.02511098641116405,0.0,1.6651669740094803,8192.0,,,-992.6830444335938,-0.02500372902431991,2.346000949060567e-09,0.0,,1.0,599.71728515625,0.1220521405339241,,,0.005678584442648571,,1.0,8192.0,3.690108299255371,0.02511098641116405,,,,1857.7820133180358,,0.0,2.346000949060567e-09,,,200.119140625,,,0.0,-63.029296875,0.9752793749794364,0.038556694984436035,7.24489800632e-05,,,,,0.0,,2.0,9,,-0.004147954285144806,,,,,599.71728515625,,1.0681595485657454,,0.49990779161453247,,8192.0,,,,1.0385236740112305,1e-05,2.06115369216775e-09,,,0.9890284538269043,123.0,,1.0,,1.0,0.973076005786993,0.0,,-63.029296875,2.353852531605504e+17,37.0,,,0.0,9.0,1533.0,2.0,,,,0.021695901308613236,1.0,,,1.816258810016791e-09,,11971.676848349,-4059.986572265625,1857.7820133180358,1.0413276217877865,0.06540182523895055,,,-4059.986572265625,0.1901639643872396,0.9999992251396179,,,2284.2141702195167,0.03600996732711792,,0.05653385818004608,0.6072859168052673,8192.0,
